handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,variable,value
False,,0.0,True,True,False,2d-conv,cost,912.9159999999999
False,,0.0,True,False,True,q-prod,time,0.0031280517578125
False,,0.0,True,False,True,q-prod,cost,606.5590000000001
False,,0.0,True,False,True,2d-conv,time,0.0027234554290771484
False,,0.0,True,False,True,2d-conv,cost,912.9159999999999
False,,0.0,True,False,False,q-prod,time,0.0028760433197021484
False,,0.0,True,False,False,q-prod,cost,606.5590000000001
False,,0.0,True,False,False,2d-conv,time,0.0024480819702148438
False,,0.0,True,False,False,2d-conv,cost,912.9159999999999
False,,0.0,False,True,True,q-prod,time,0.005702018737792969
False,,0.0,False,True,True,q-prod,cost,606.5590000000001
False,,0.0,False,True,True,2d-conv,time,0.004667043685913086
False,,0.0,False,True,True,2d-conv,cost,912.9159999999999
False,,0.0,False,True,False,q-prod,time,0.005541801452636719
False,,0.0,False,True,False,q-prod,cost,606.5590000000001
False,,0.0,False,True,False,2d-conv,time,0.004435062408447266
False,,0.0,False,True,False,2d-conv,cost,912.9159999999999
False,,0.0,False,False,True,q-prod,time,0.0030548572540283203
False,,0.0,False,False,True,q-prod,cost,606.5590000000001
False,,0.0,False,False,True,2d-conv,time,0.002642393112182617
False,,0.0,False,False,True,2d-conv,cost,912.9159999999999
False,,0.0,False,False,False,q-prod,time,0.002853870391845703
False,,0.0,False,False,False,q-prod,cost,606.5590000000001
False,,0.0,False,False,False,2d-conv,time,0.0024535655975341797
False,,0.0,False,False,False,2d-conv,cost,912.9159999999999
False,,2.0,True,True,True,q-prod,time,0.0057413578033447266
False,,2.0,True,True,True,q-prod,cost,606.5590000000001
False,,2.0,True,True,True,2d-conv,time,0.0046460628509521484
False,,2.0,True,True,True,2d-conv,cost,912.9159999999999
False,,2.0,True,True,False,q-prod,time,0.005459308624267578
False,,2.0,True,True,False,q-prod,cost,606.5590000000001
False,,2.0,True,True,False,2d-conv,time,0.004437923431396484
False,,2.0,True,True,False,2d-conv,cost,912.9159999999999
False,,2.0,True,False,True,q-prod,time,0.003055572509765625
False,,2.0,True,False,True,q-prod,cost,606.5590000000001
False,,2.0,True,False,True,2d-conv,time,0.0027184486389160156
False,,2.0,True,False,True,2d-conv,cost,912.9159999999999
False,,2.0,True,False,False,q-prod,time,0.002851247787475586
