rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-60000.json,5,False,False,q-prod,63,phase_1_n,
time-ablation/rules-t-60000.json,5,False,False,q-prod,63,phase_2_n,
time-ablation/rules-t-60000.json,5,False,False,q-prod,63,impr_cost,
time-ablation/rules-t-60000.json,5,False,False,2d-conv,64,time,2.1607658863067627
time-ablation/rules-t-60000.json,5,False,False,2d-conv,64,cost,-1.0
time-ablation/rules-t-60000.json,5,False,False,2d-conv,64,phase_1_n,
time-ablation/rules-t-60000.json,5,False,False,2d-conv,64,phase_2_n,
time-ablation/rules-t-60000.json,5,False,False,2d-conv,64,impr_cost,
time-ablation/rules-t-60000.json,5,False,False,mat-mul,65,time,2.17183256149292
time-ablation/rules-t-60000.json,5,False,False,mat-mul,65,cost,-1.0
time-ablation/rules-t-60000.json,5,False,False,mat-mul,65,phase_1_n,
time-ablation/rules-t-60000.json,5,False,False,mat-mul,65,phase_2_n,
time-ablation/rules-t-60000.json,5,False,False,mat-mul,65,impr_cost,
time-ablation/rules-t-60000.json,,True,False,q-prod,66,time,1954.6709160804749
time-ablation/rules-t-60000.json,,True,False,q-prod,66,cost,464.367
time-ablation/rules-t-60000.json,,True,False,q-prod,66,phase_1_n,0
time-ablation/rules-t-60000.json,,True,False,q-prod,66,phase_2_n,
time-ablation/rules-t-60000.json,,True,False,q-prod,66,impr_cost,
time-ablation/rules-t-60000.json,,True,False,2d-conv,67,time,2893.1370618343353
time-ablation/rules-t-60000.json,,True,False,2d-conv,67,cost,35.96999999999999
time-ablation/rules-t-60000.json,,True,False,2d-conv,67,phase_1_n,0
time-ablation/rules-t-60000.json,,True,False,2d-conv,67,phase_2_n,
time-ablation/rules-t-60000.json,,True,False,2d-conv,67,impr_cost,
time-ablation/rules-t-60000.json,,True,False,mat-mul,68,time,710.2406039237976
time-ablation/rules-t-60000.json,,True,False,mat-mul,68,cost,4.948
time-ablation/rules-t-60000.json,,True,False,mat-mul,68,phase_1_n,0
time-ablation/rules-t-60000.json,,True,False,mat-mul,68,phase_2_n,
time-ablation/rules-t-60000.json,,True,False,mat-mul,68,impr_cost,
time-ablation/rules-t-60000.json,,False,False,q-prod,69,time,1956.5384471416473
time-ablation/rules-t-60000.json,,False,False,q-prod,69,cost,464.367
